adj-eng,adj-fre,adj-ger,adj-ita,adj-ned,adj-rus,adj-vie,adj-zho,noun-eng,noun-fre,noun-ger,noun-ita,noun-ned,noun-rus,noun-vie,noun-zho,phrase_prefix-eng,phrase_prefix-fre,phrase_prefix-ger,phrase_prefix-ita,phrase_prefix-ned,phrase_prefix-rus,phrase_prefix-vie,phrase_prefix-zho,phrase-eng,phrase-fre,phrase-ger,phrase-ita,phrase-ned,phrase-rus,phrase-vie,phrase-zho,phrase_head_final-eng,phrase_head_final-fre,phrase_head_final-ger,phrase_head_final-ita
national,national,nationale,nazionale,nationale,национальный,quốc gia,国,flag,drapeau,Flagge,bandiera,vlag,флаг,cờ,旗,I saw the,J'ai vu le,Ich sah die,Ho visto la,Ik zag de,Я увидел,Tôi đã thấy lá,我看見了,national flag,drapeau national,nationale Flagge,bandiera nazionale,nationale vlag,национальный флаг,cờ quốc gia,国旗,,,,
clean,propre,sauberer,pulito,schone,чистый,sạch sẽ,干净的,floor,sol,Boden,pavimento,vloer,пол,sàn nhà,地板,I saw the,J'ai vu le,Ich sah den,Ho visto il,Ik zag de,Я увидел,Tôi đã thấy,我看見了,clean floor,sol propre,sauberer Boden,pavimento pulito,schone vloer,чистый пол,sàn nhà sạch sẽ,干净的地板,,,,
fast,rapide,schnelle,veloce,snelle,быстрая,nhanh,快,fly,mouche,Fliege,mosca,vlieg,муха,ruồi,蒼蠅,I saw the,J'ai vu la,Ich sah die,Ho visto la,Ik zag de,Я увидел,Tôi đã thấy con,我看見了,fast fly,mouche rapide,schnelle Fliege,mosca veloce,snelle vlieg,быстрая муха,ruồi nhanh,快蒼蠅,small fly,petite mouche,kleine Fliege,piccola mosca
bare,nu,bares,nudo,blote,босая,trần,赤,foot,pied,Fuß,piede,voet,нога,chân,腳,I saw the,J'ai vu les,Ich sah das,Ho visto il,Ik zag de,Я увидел,Tôi đã thấy đôi,我看見了,bare foot,pied nu,bares Fuß,piede nudo,blote voet,босая нога,chân trần,赤腳,pretty foot,petit pied,schönes Fuß,bel piede
metal,en métal,metallener,di,metalen,металлическая,kim loại,金属,fork,fourchette,Gabel,forchetta,vork,вилка,dĩa,叉子,I saw the,J'ai vu la,Ich sah den,Ho visto la,Ik zag de,Я увидел,Tôi đã thấy cái,我看見了,metal fork,fourchette en métal,metallener Gabel,forchetta di metallo,metalen vork,металлическая вилка,dĩa kim loại,金属叉子,,,,
wooden,en bois,hölzener,in,houten,деревянная,gỗ,木製,frame,cadre,Rahmen,telaio,kader,рама,khung,框架,I saw the,J'ai vu le,Ich sah den,Ho visto il,Ik zag het,Я увидел,Tôi đã thấy cái,我看見了,wooden frame,cadre en bois,hölzener Rahmen,telaio in legno,houten kader,деревянная рама,khung gỗ,木製框架,big frame,grand cadre,großer Rahmen,grande telaio
green,vert,grüner,verde,groene,зелёный,xanh,绿意盎然的,garden,jardin,Garten,giardino,tuin,сад,vườn,花园,I saw the,J'ai vu le,Ich sah den,Ho visto il,Ik zag de,Я увидел,Tôi đã thấy khu,我看見了,green garden,jardin vert,grüner Garten,giardino verde,groene tuin,зелёный сад,vườn xanh,绿意盎然的花园,,,,
happy,heureuse,fröhliches,felice,gelukkig,счастливая,vui vẻ,快乐的,girl,fille,Mädchen,ragazza,meisje,девушка,cô gái,女孩,I saw the,J'ai vu la,Ich sah das,Ho visto la,Ik zag het,Я увидел,Tôi đã thấy,我看見了,happy girl,fille heureuse,fröhliches Mädchen,ragazza felice,gelukkig meisje,счастливая девушка,cô gái vui vẻ,快乐的女孩,,,,
warm,chaud,warmer,caldo,warme,теплая,ấm áp,温暖的,glove,gant,Handschuh,guanto,handschoen,перчатка,găng tay,手套,I saw the,J'ai vu les,Ich sah den,Ho visto il,Ik zag de,Я увидел,Tôi đã thấy đôi,我看見了,warm glove,gant chaud,warmer Handschuh,guanto caldo,warme handschoen,теплая перчатка,găng tay ấm áp,温暖的手套,,,,
white,blanche,weiße,bianca,witte,белая,trắng,白,goat,chèvre,Ziege,capra,geit,коза,dê,山羊,I saw the,J'ai vu la,Ich sah die,Ho visto la,Ik zag de,Я увидел,Tôi đã thấy con,我看見了,white goat,chèvre blanche,weiße Ziege,capra bianca,witte geit,белая коза,dê trắng,白山羊,small goat,petite chèvre,kleine Ziege,piccola capra
loaded,chargé,geladene,carica,geladen,заряженный,đã lên đạn,上膛的,gun,fusil,Waffe,pistola,geweer,пистолет,súng,枪,I saw the,J'ai vu le,Ich sah die,Ho visto la,Ik zag het,Я увидел,Tôi đã thấy khẩu,我看見了,loaded gun,fusil chargé,geladene Waffe,pistola carica,geladen geweer,заряженный пистолет,súng đã lên đạn,上膛的枪,,,nan Waffe,
curly,bouclés,lockiges,ricci,krullend,кудрявый,xoăn,卷,hair,cheveux,Haar,capelli,haar,волос,tóc,发,I saw the,J'ai vu les,Ich sah das,Ho visto i,Ik zag het,Я увидел,Tôi đã thấy mái,我看見了,curly hair,cheveux bouclés,lockiges Haar,capelli ricci,krullend haar,кудрявые волосы,tóc xoăn,卷发,,,nan Haar,
heavy,lourd,schwerer,pesante,zware,тяжелый,nặng,重,hammer,marteau,Hammer,martello,hamer,молоток,búa,錘,I saw the,J'ai vu le,Ich sah den,Ho visto il,Ik zag de,Я увидел,Tôi đã thấy cái,我看見了,heavy hammer,marteau lourd,schwerer Hammer,martello pesante,zware hamer,тяжелый молоток,búa nặng,重錘,new hammer,nouveau marteau,neuer Hammer,nuovo martello
clean,propre,saubere,pulita,schone,чистая,sạch,潔淨之,hand,main,Hand,mano,hand,рука,tay,手,I saw the,J'ai vu les,Ich sah die,Ho visto la,Ik zag de,Я увидел,Tôi đã thấy đôi,我看見了,clean hand,main propre,saubere Hand,mano pulita,schone hand,чистая рука,tay sạch,潔淨之手,pretty hand,jolie main,schöne Hand,bella mano
big,chapeau,großer,grande,grote,большая,rộng vành,宽檐,hat,grand,Hut,cappello,hoed,шляпа,mũ,帽,I saw the,J'ai vu le,Ich sah den,Ho visto il,Ik zag de,Я увидел,Tôi đã thấy cái,我看見了,big hat,grand chapeau,großer Hut,cappello grande,grote hoed,большая шляпа,mũ rộng vành,宽檐帽,,,nan Hut,
bald,chauve,kahler,calva,kale,лысая,trọc,光,head,tête,Kopf,testa,kop,голова,đầu,头,I saw the,J'ai vu la,Ich sah den,Ho visto la,Ik zag de,Я увидел,Tôi đã thấy cái,我看見了,bald head,tête chauve,kahler Kopf,testa calva,kale kop,лысая голова,đầu trọc,光头,,,nan Kopf,
kind,tendre,gütiges,gentile,goede,доброе,nhân hậu,善良的,heart,cœur,Herz,cuore,hart,сердце,trái tim,心,I saw the,J'ai vu le,Ich sah das,Ho visto il,Ik zag het,Я увидел,Tôi đã thấy,我看見了,kind heart,cœur tendre,gütiges Herz,cuore gentile,goede hart,доброе сердце,trái tim nhân hậu,善良的心,,,nan Herz,
sharp,acéré,scharfer,affilato,scherpe,острый,sắc,鋒利的,hook,crochet,Haken,uncino,haak,крюк,móc,鉤子,I saw the,J'ai vu le,Ich sah den,Ho visto l',Ik zag de,Я увидел,Tôi đã thấy cái,我看見了,sharp hook,crochet acéré,scharfer Haken,uncino affilato,scherpe haak,острый крюк,móc sắc,鋒利的鉤子,good hook,bon crochet,guter Haken,buon gancio
loud,bruyant,lautes,rumoroso,luide,громкий,to,响亮的,horn,klaxon,Horn,clacson,hoorn,рог,còi,喇叭,I saw the,J'ai vu le,Ich sah das,Ho visto il,Ik zag de,Я увидел,Tôi đã thấy cái,我看見了,loud horn,klaxon bruyant,lautes Horn,clacson rumoroso,luide hoorn,громкий рог,còi to,响亮的喇叭,,,,
fast,rapide,schnelles,veloce,snel,быстрая,nhanh,疾驰的,horse,cheval,Pferd,cavallo,paard,лошадь,ngựa,骏马,I saw the,J'ai vu le,Ich sah das,Ho visto il,Ik zag het,Я увидел,Tôi đã thấy con,我看見了,fast horse,cheval rapide,schnelles Pferd,cavallo veloce,snel paard,быстрая лошадь,ngựa nhanh,疾驰的骏马,,,,
modern,moderne,modernes,moderno,modern,современная,hiện đại,现代化的,hospital,hôpital,Krankenhaus,ospedale,ziekenhuis,больница,bệnh viện,医院,I saw the,J'ai vu l',Ich sah das,Ho visto l',Ik zag het,Я увидел,Tôi đã thấy,我看見了,modern hospital,hôpital moderne,modernes Krankenhaus,ospedale moderno,modern ziekenhuis,современная больница,bệnh viện hiện đại,现代化的医院,,,,
pink,rose,rosa,rosa,roze,розовый,màu hồng,粉红色的,house,maison,Haus,casa,huis,дом,ngôi nhà,房子,I saw the,J'ai vu la,Ich sah das,Ho visto la,Ik zag het,Я увидел,Tôi đã thấy,我看見了,pink house,maison rose,rosa Haus,casa rosa,roze huis,розовый дом,ngôi nhà màu hồng,粉红色的房子,,,,
remote,isolée,abgelegene,remota,afgelegen,отдаленный,xa xôi,偏远的,island,île,Insel,isola,eiland,остров,đảo,岛屿,I saw the,J'ai vu l',Ich sah die,Ho visto l',Ik zag het,Я увидел,Tôi đã thấy hòn,我看見了,remote island,île isolée,abgelegene Insel,isola remota,afgelegen eiland,отдаленный остров,đảo xa xôi,偏远的岛屿,,,,
precious,précieux,kostbares,prezioso,kostbaar,драгоценный,quý,珍貴的,jewel,bijou,Juwel,gioiello,juweel,камень,ngọc,寶石,I saw the,J'ai vu le,Ich sah das,Ho visto il,Ik zag het,Я увидел,Tôi đã thấy viên,我看見了,precious jewel,bijou précieux,kostbares Juwel,gioiello prezioso,kostbaar juweel,драгоценный камень,ngọc quý,珍貴的寶石,beautiful jewel,beau bijou,schönes Juwel,bellissimo gioiello
boiling,bouillante,kochender,bollente,kokende,кипящий,sôi,沸腾的,kettle,bouilloire,Kessel,bollitore,ketel,чайник,ấm,茶壶,I saw the,J'ai vu la,Ich sah den,Ho visto il,Ik zag de,Я увидел,Tôi đã thấy cái,我看見了,boiling kettle,bouilloire bouillante,kochender Kessel,bollitore bollente,kokende ketel,кипящий чайник,ấm sôi,沸腾的茶壶,,,,
golden,d'or,goldener,d,gouden,золотой,vàng,金色的,key,clé,Schlüssel,chiave,sleutel,ключ,chìa khóa,钥匙,I saw the,J'ai vu la,Ich sah den,Ho visto la,Ik zag de,Я увидел,Tôi đã thấy,我看見了,golden key,clé d'or,goldener Schlüssel,chiave d'oro,gouden sleutel,золотой ключ,chìa khóa vàng,金色的钥匙,,,,
bent,plié,gekrümmtes,piegato,gebogen,согнутое,cong,弯曲的,knee,genou,Knie,ginocchio,knie,колено,đầu gối,膝盖,I saw the,J'ai vu le,Ich sah das,Ho visto il,Ik zag de,Я увидел,Tôi đã thấy cái,我看見了,bent knee,genou plié,gekrümmtes Knie,ginocchio piegato,gebogen knie,согнутое колено,đầu gối cong,弯曲的膝盖,,,,
sharp,acéré,scharfes,affilato,scherp,острый,sắc,锋利的,knife,couteau,Messer,coltello,mes,нож,dao,刀刃,I saw the,J'ai vu le,Ich sah das,Ho visto il,Ik zag het,Я увидел,Tôi đã thấy con,我看見了,sharp knife,couteau acéré,scharfes Messer,coltello affilato,scherp mes,острый нож,dao sắc,锋利的刀刃,,,,
tight,serré,fester,stretto,strakke,крепкий,chặt,緊,knot,nœud,Knoten,nodo,knoop,узел,nút thắt,結,I saw the,J'ai vu le,Ich sah den,Ho visto il,Ik zag de,Я увидел,Tôi đã thấy,我看見了,tight knot,nœud serré,fester Knoten,nodo stretto,strakke knoop,крепкий узел,nút thắt chặt,緊結,beautiful knot,beau nœud,schöner Knoten,bellissimo nodo
green,verte,grünes,verde,groen,зеленый,xanh,绿,leaf,feuille,Blatt,foglia,blad,лист,lá,叶,I saw the,J'ai vu la,Ich sah das,Ho visto la,Ik zag het,Я увидел,Tôi đã thấy chiếc,我看見了,green leaf,feuille verte,grünes Blatt,foglia verde,groen blad,зеленый лист,lá xanh,绿叶,,,,
strong,forte,starkes,forte,sterke,сильная,chắc,强健的,leg,jambe,Bein,gamba,been,нога,chân,腿,I saw the,J'ai vu la,Ich sah das,Ho visto la,Ik zag het,Я увидел,Tôi đã thấy đôi,我看見了,strong leg,jambe forte,starkes Bein,gamba forte,sterke been,сильная нога,chân chắc,强健的腿,,,,
quiet,silencieuse,ruhige,silenziosa,stille,тихая,yên tĩnh,安静的,library,bibliothèque,Bibliothek,biblioteca,bibliotheek,библиотека,thư viện,图书馆,I saw the,J'ai vu la,Ich sah die,Ho visto la,Ik zag de,Я увидел,Tôi đã thấy,我看見了,quiet library,bibliothèque silencieuse,ruhige Bibliothek,biblioteca silenziosa,stille bibliotheek,тихая библиотека,thư viện yên tĩnh,安静的图书馆,,,,
straight,droite,gerade,retta,rechte,прямая,thẳng,笔直的,line,ligne,Linie,linea,lijn,линия,đường,线条,I saw the,J'ai vu la,Ich sah die,Ho visto la,Ik zag de,Я увидел,Tôi đã thấy,我看見了,straight line,ligne droite,gerade Linie,linea retta,rechte lijn,прямая линия,đường thẳng,笔直的线条,,,,
red,rouge,rote,rosse,rode,красная,đỏ,红,lip,lèvre,Lippe,labbra,lip,губа,môi,唇,I saw the,J'ai vu la,Ich sah die,Ho visto la,Ik zag de,Я увидел,Tôi đã thấy đôi,我看見了,red lip,lèvre rouge,rote Lippe,labbra rosse,rode lip,красные губы,môi đỏ,红唇,,,,
secure,sécurisée,sicheres,sicura,veilig,надежный,an toàn,安全的,lock,serrure,Schloss,serratura,slot,замок,khóa,锁,I saw the,J'ai vu la,Ich sah das,Ho visto la,Ik zag het,Я увидел,Tôi đã thấy cái,我看見了,secure lock,serrure sécurisée,sicheres Schloss,serratura sicura,veilig slot,надежный замок,khóa an toàn,安全的锁,,,,
detailed,détaillée,detaillierte,dettagliata,gedetailleerde,подробная,chi tiết,详细的,map,carte,Karte,mappa,kaart,карта,bản đồ,地图,I saw the,J'ai vu la,Ich sah die,Ho visto la,Ik zag de,Я увидел,Tôi đã thấy,我看見了,detailed map,carte détaillée,detaillierte Karte,mappa dettagliata,gedetailleerde kaart,подробная карта,bản đồ chi tiết,详细的地图,,,,
lit,allumée,angezündetes,acceso,aangestoken,зажженная,cháy,点燃的,match,allumette,Streichholz,fiammifero,lucifer,спичка,que diêm,火柴,I saw the,J'ai vu l',Ich sah das,Ho visto il,Ik zag de,Я увидел,Tôi đã thấy,我看見了,lit match,allumette allumée,angezündetes Streichholz,fiammifero acceso,aangestoken lucifer,зажженная спичка,que diêm cháy,点燃的火柴,,,,
playful,joueur,verspielter,giocosa,speelse,игривая,nghịch ngợm,顽皮的,monkey,singe,Affe,scimmia,aap,обезьяна,khỉ,猴子,I saw the,J'ai vu le,Ich sah den,Ho visto la,Ik zag de,Я увидел,Tôi đã thấy con,我看見了,playful monkey,singe joueur,verspielter Affe,scimmia giocosa,speelse aap,игривая обезьяна,khỉ nghịch ngợm,顽皮的猴子,,,,
white,blanche,weißer,bianca,witte,белая,trắng,白,moon,lune,Mond,luna,maan,луна,trăng,月,I saw the,J'ai vu la,Ich sah den,Ho visto la,Ik zag de,Я увидел,Tôi đã thấy vầng,我看見了,white moon,lune blanche,weißer Mond,luna bianca,witte maan,белая луна,trăng trắng,白月,big moon,bonne lune,großer Mond,grande luna
cold,froide,kalter,fredda,koude,холодный,lạnh,冰冷的,mouth,bouche,Mund,bocca,mond,рот,miệng,嘴,I saw the,J'ai vu la,Ich sah den,Ho visto la,Ik zag de,Я увидел,Tôi đã thấy cái,我看見了,cold mouth,bouche froide,kalter Mund,bocca fredda,koude mond,холодный рот,miệng lạnh,冰冷的嘴,,,,
strong,fort,starker,forte,sterke,сильная,mạnh mẽ,强健的,muscle,muscle,Muskel,muscolo,spier,мышца,cơ bắp,肌肉,I saw the,J'ai vu le,Ich sah den,Ho visto il,Ik zag de,Я увидел,Tôi đã thấy,我看見了,strong muscle,muscle fort,starker Muskel,muscolo forte,sterke spier,сильные мышцы,cơ bắp mạnh mẽ,强健的肌肉,,,,
rusty,rouillé,rostiger,arrugginito,roestige,ржавый,gỉ,生锈的,nail,clou,Nagel,chiodo,spijker,гвоздь,đinh,钉子,I saw the,J'ai vu le,Ich sah den,Ho visto il,Ik zag de,Я увидел,Tôi đã thấy cái,我看見了,rusty nail,clou rouillé,rostiger Nagel,chiodo arrugginito,roestige spijker,ржавый гвоздь,đinh gỉ,生锈的钉子,,,,
red,rouge,roter,rosso,rode,красная,đỏ,红,neck,cou,Hals,collo,nek,шея,cổ,脖子,I saw the,J'ai vu le,Ich sah den,Ho visto il,Ik zag de,Я увидел,Tôi đã thấy cái,我看見了,red neck,cou rouge,roter Hals,collo rosso,rode nek,красная шея,cổ đỏ,红脖子,,,,
sharp,pointue,scharfe,affilato,scherpe,острая,nhọn,锋利的,needle,aiguille,Nadel,ago,naald,игла,kim,针,I saw the,J'ai vu l',Ich sah die,Ho visto l',Ik zag de,Я увидел,Tôi đã thấy cái,我看見了,sharp needle,aiguille pointue,scharfe Nadel,ago affilato,scherpe naald,острая игла,kim nhọn,锋利的针,,,,
sensitive,sensible,empfindlicher,sensibile,gevoelige,чувствительный,nhạy cảm,敏感的,nerve,nerf,Nerv,nervo,zenuw,нерв,thần kinh,神经,I saw the,J'ai vu le,Ich sah den,Ho visto il,Ik zag de,Я увидел,Tôi đã thấy dây,我看見了,sensitive nerve,nerf sensible,empfindlicher Nerv,nervo sensibile,gevoelige zenuw,чувствительный нерв,thần kinh nhạy cảm,敏感的神经,,,,
sticky,collant,klebriges,adesiva,plakkerig,липкая,dính,黏性,net,filet,Netz,rete,net,сеть,lưới,網,I saw the,J'ai vu le,Ich sah das,Ho visto la,Ik zag het,Я увидел,Tôi đã thấy tấm,我看見了,sticky net,filet collant,klebriges Netz,rete adesiva,plakkerig net,липкая сеть,lưới dính,黏性網,old net,vieux filet,altes Netz,vecchia rete
round,rond,runde,tondo,ronde,круглый,tròn,圆,nose,nez,Nase,naso,neus,нос,mũi,鼻,I saw the,J'ai vu le,Ich sah die,Ho visto il,Ik zag de,Я увидел,Tôi đã thấy cái,我看見了,round nose,nez rond,runde Nase,naso tondo,ronde neus,круглый нос,mũi tròn,圆鼻,,,nan Nase,
hard,dure,harte,dura,harde,твердый,cứng,難纏的,nut,noix,Nuss,noce,noot,орех,hạt,傢伙,I saw the,J'ai vu la,Ich sah die,Ho visto la,Ik zag de,Я увидел,Tôi đã thấy,我看見了,hard nut,noix dure,harte Nuss,noce dura,harde noot,твердый орех,hạt cứng,難纏的傢伙,small nut,petite noix,kleine Nuss,piccola noce
busy,occupé,geschäftiges,affollato,druk,оживленный,bận rộn,繁忙的,office,bureau,Büro,ufficio,kantoor,офис,văn phòng,办公室,I saw the,J'ai vu le,Ich sah das,Ho visto l',Ik zag het,Я увидел,Tôi đã thấy,我看見了,busy office,bureau occupé,geschäftiges Büro,ufficio affollato,druk kantoor,оживленный офис,văn phòng bận rộn,繁忙的办公室,,,,
juicy,juteuse,saftige,succosa,sappige,сочный,ngọt ngào,多汁的,orange,orange,Orange,arancia,sinaasappel,апельсин,cam,橙子,I saw the,J'ai vu l',Ich sah die,Ho visto l',Ik zag de,Я увидел,Tôi đã thấy quả,我看見了,juicy orange,orange juteuse,saftige Orange,arancia succosa,sappige sinaasappel,сочный апельсин,cam ngọt ngào,多汁的橙子,,,,
hot,chaud,heißer,caldo,hete,горячая,nóng,熱,oven,four,Ofen,forno,oven,печь,lò nướng,烤箱,I saw the,J'ai vu le,Ich sah den,Ho visto il,Ik zag de,Я увидел,Tôi đã thấy cái,我看見了,hot oven,four chaud,heißer Ofen,forno caldo,hete oven,горячая печь,lò nướng nóng,熱烤箱,good oven,bon four,guter Ofen,buon forno
sealed,scellé,versiegeltes,sigillato,verzegeld,запечатанная,niêm phong,密封,parcel,colis,Paket,pacco,pakket,посылка,gói hàng,包裹,I saw the,J'ai vu le,Ich sah das,Ho visto il,Ik zag het,Я увидел,Tôi đã thấy,我看見了,sealed parcel,colis scellé,versiegeltes Paket,pacco sigillato,verzegeld pakket,запечатанная посылка,gói hàng niêm phong,密封包裹,bad parcel,mauvais colis,schlechtes Paket,cattivo pacco
blue,bleu,blauer,blu,blauwe,синяя,màu xanh,蓝色,pen,stylo,Stift,penna,pen,ручка,bút bi,钢笔,I saw the,J'ai vu le,Ich sah den,Ho visto la,Ik zag de,Я увидел,Tôi đã thấy cái,我看見了,blue pen,stylo bleu,blauer Stift,penna blu,blauwe pen,синяя ручка,bút bi màu xanh,蓝色钢笔,,,nan Stift,
sharp,pointu,spitzer,appuntita,scherpe,острый,nhọn,尖銳的,pencil,crayon,Bleistift,matita,potlood,карандаш,bút chì,鉛筆,I saw the,J'ai vu le,Ich sah den,Ho visto la,Ik zag het,Я увидел,Tôi đã thấy cái,我看見了,sharp pencil,crayon pointu,spitzer Bleistift,matita appuntita,scherpe potlood,острый карандаш,bút chì nhọn,尖銳的鉛筆,small pencil,petit crayon,kleiner Bleistift,piccola matita
dark,sombre,dunkles,scura,donkere,мрачная,tối,黑暗,picture,image,Bild,immagine,foto,картина,hình ảnh,圖像,I saw the,J'ai vu l',Ich sah das,Ho visto l',Ik zag de,Я увидел,Tôi đã thấy,我看見了,dark picture,image sombre,dunkles Bild,immagine scura,donkere foto,мрачная картина,hình ảnh tối,黑暗圖像,beautiful picture,belle image,schönes Bild,bella immagine
pink,rose,rosa,rosa,roze,розовая,hồng,粉紅,pig,cochon,Schwein,maiale,varken,свинья,lợn,豬,I saw the,J'ai vu le,Ich sah das,Ho visto la,Ik zag het,Я увидел,Tôi đã thấy con,我看見了,pink pig,cochon rose,rosa Schwein,maiale rosa,roze varken,розовая свинья,lợn hồng,粉紅豬,big pig,gros cochon,großes Schwein,grande maiale
sharp,acérée,spitze,appuntito,scherpe,острая,nhọn,尖锐的,pin,épingle,Nadel,spillo,speld,булавка,kim,钉子,I saw the,J'ai vu l',Ich sah die,Ho visto lo,Ik zag de,Я увидел,Tôi đã thấy cái,我看見了,sharp pin,épingle acérée,spitze Nadel,spillo appuntito,scherpe speld,острая булавка,kim nhọn,尖锐的钉子,,,,
broken,cassé,kaputtes,rotto,gebroken,сломанная,bị vỡ,断裂的,pipe,tuyau,Rohr,tubo,pijp,труба,ống,管道,I saw the,J'ai vu le,Ich sah das,Ho visto il,Ik zag de,Я увидел,Tôi đã thấy cái,我看見了,broken pipe,tuyau cassé,kaputtes Rohr,tubo rotto,gebroken pijp,сломанная труба,ống bị vỡ,断裂的管道,,,,
fast,rapide,schnelles,veloce,snel,быстрый,nhanh,高速,plane,avion,Flugzeug,aereo,vliegtuig,самолет,máy bay,飞机,I saw the,J'ai vu l',Ich sah das,Ho visto l',Ik zag het,Я увидел,Tôi đã thấy chiếc,我看見了,fast plane,avion rapide,schnelles Flugzeug,aereo veloce,snel vliegtuig,быстрый самолет,máy bay nhanh,高速飞机,,,,
clean,propre,sauberer,pulito,schone,чистая,sạch,干净的,plate,assiette,Teller,piatto,bord,тарелка,đĩa,盘子,I saw the,J'ai vu l',Ich sah den,Ho visto il,Ik zag het,Я увидел,Tôi đã thấy cái,我看見了,clean plate,assiette propre,sauberer Teller,piatto pulito,schone bord,чистая тарелка,đĩa sạch,干净的盘子,,,,
rusty,rouillée,rostiger,arrugginito,roestige,ржавый,gỉ,生锈的,plough,charrue,Pflug,aratro,ploeg,плуг,cày,犁,I saw the,J'ai vu la,Ich sah den,Ho visto l',Ik zag de,Я увидел,Tôi đã thấy cái,我看見了,rusty plough,charrue rouillée,rostiger Pflug,aratro arrugginito,roestige ploeg,ржавый плуг,cày gỉ,生锈的犁,,,,
deep,profonde,tiefe,profonda,diepe,глубокий,sâu,深,pocket,poche,Tasche,tasca,zak,карман,túi,口袋,I saw the,J'ai vu la,Ich sah die,Ho visto la,Ik zag de,Я увидел,Tôi đã thấy cái,我看見了,deep pocket,poche profonde,tiefe Tasche,tasca profonda,diepe zak,глубокий карман,túi sâu,深口袋,,,,
hot,chaud,heißer,calda,hete,горячий,nóng,热,pot,pot,Topf,pentola,pot,котел,nồi,锅,I saw the,J'ai vu la,Ich sah den,Ho visto la,Ik zag de,Я увидел,Tôi đã thấy cái,我看見了,hot pot,pot chaud,heißer Topf,pentola calda,hete pot,горячий котел,nồi nóng,热锅,,,,
baked,cuite,gebackene,cotta,gebakken,печеный,nướng,烤,potato,pomme de terre,Kartoffel,patata,aardappel,картофель,khoai tây,土豆,I saw the,J'ai vu la,Ich sah die,Ho visto la,Ik zag de,Я увидел,Tôi đã thấy củ,我看見了,baked potato,pomme de terre cuite,gebackene Kartoffel,patata cotta,gebakken aardappel,печеный картофель,khoai tây nướng,烤土豆,,,,
crowded,bondée,überfülltes,affollata,overvolle,переполненная,đông đúc,拥挤的,prison,prison,Gefängnis,prigione,gevangenis,тюрьма,nhà tù,监狱,I saw the,J'ai vu la,Ich sah das,Ho visto il,Ik zag de,Я увидел,Tôi đã thấy,我看見了,crowded prison,prison bondée,überfülltes Gefängnis,prigione affollata,overvolle gevangenis,переполненная тюрьма,nhà tù đông đúc,拥挤的监狱,,,,
manual,manuelle,handbetriebene,manuale,handmatige,ручной,thủ công,手动,pump,pompe,Pumpe,pompa,pomp,насос,bơm,泵,I saw the,J'ai vu la,Ich sah die,Ho visto la,Ik zag de,Я увидел,Tôi đã thấy cái,我看見了,manual pump,pompe manuelle,handbetriebene Pumpe,pompa manuale,handmatige pomp,ручной насос,bơm thủ công,手动泵,,,,
metal,métallique,metallene,metallico,metalen,металлическая,kim loại,金属,rail,rail,Scheine,binario,rail,рельса,ray,轨道,I saw the,J'ai vu le,Ich sah die,Ho visto il,Ik zag de,Я увидел,Tôi đã thấy thanh,我看見了,metal rail,rail métallique,metallene Scheine,binario metallico,metalen rail,металлическая рельса,ray kim loại,金属轨道,,,,
dirty,sale,schmutzige,sporco,vuile,грязная,bẩn,肮脏的,rat,rat,Ratte,topo,rat,крыса,chuột,老鼠,I saw the,J'ai vu le,Ich sah die,Ho visto il,Ik zag de,Я увидел,Tôi đã thấy con,我看見了,dirty rat,rat sale,schmutzige Ratte,topo sporco,vuile rat,грязная крыса,chuột bẩn,肮脏的老鼠,,,,
thin,mince,dünner,sottile,dunne,тонкий,nhỏ,薄型,receipt,reçu,Beleg,scontrino,bon,чек,phiếu thu,收據,I saw the,J'ai vu le,Ich sah den,Ho visto lo,Ik zag de,Я увидел,Tôi đã thấy tờ,我看見了,thin receipt,reçu mince,dünner Beleg,scontrino sottile,dunne bon,тонкий чек,phiếu thu nhỏ,薄型收據,old receipt,ancien reçu,alter Beleg,vecchia ricevuta
gold,d'or,goldener,d,gouden,золотое,vàng,金,ring,anneau,Ring,anello,ring,кольцо,nhẫn,戒指,I saw the,J'ai vu la,Ich sah den,Ho visto l',Ik zag de,Я увидел,Tôi đã thấy chiếc,我看見了,gold ring,anneau d'or,goldener Ring,anello d'oro,gouden ring,золотое кольцо,nhẫn vàng,金戒指,bad ring,mauvaise anneau,schlechter Ring,brutto anello
thin,fine,dünner,sottile,dunne,тонкий,mỏng,细长,rod,tige,Stab,asta,staaf,стержень,que,杆,I saw the,J'ai vu la,Ich sah den,Ho visto l',Ik zag de,Я увидел,Tôi đã thấy cái,我看見了,thin rod,tige fine,dünner Stab,asta sottile,dunne staaf,тонкий стержень,que mỏng,细长杆,,,nan Stab,
tiled,carrelé,ziegelgedecktes,di,panen,черепичная,lợp ngói,瓦片,roof,toit,Dach,tetto,dak,крыша,mái,屋顶,I saw the,J'ai vu le,Ich sah das,Ho visto il,Ik zag het,Я увидел,Tôi đã thấy,我看見了,tiled roof,toit carrelé,ziegelgedecktes Dach,tetto di tegole,pannen dak,черепичная крыша,mái lợp ngói,瓦片屋顶,,,nan Dach,
